image_name,message_id,recovery_psnr,recovery_ssim
ILSVRC2012_val_00007255.JPEG,1,29.49,0.934
ILSVRC2012_val_00007255.JPEG,2,29.49,0.934
ILSVRC2012_val_00007255.JPEG,3,29.5,0.934
ILSVRC2012_val_00007255.JPEG,4,29.49,0.934
ILSVRC2012_val_00007255.JPEG,5,29.49,0.934
ILSVRC2012_val_00007257.JPEG,1,32.36,0.978
ILSVRC2012_val_00007257.JPEG,2,32.35,0.978
ILSVRC2012_val_00007257.JPEG,3,32.37,0.978
ILSVRC2012_val_00007257.JPEG,4,32.35,0.978
ILSVRC2012_val_00007257.JPEG,5,32.35,0.978
ILSVRC2012_val_00007259.JPEG,1,31.26,0.9642
ILSVRC2012_val_00007259.JPEG,2,31.25,0.9643
ILSVRC2012_val_00007259.JPEG,3,31.27,0.9642
ILSVRC2012_val_00007259.JPEG,4,31.25,0.9642
ILSVRC2012_val_00007259.JPEG,5,31.25,0.9643
ILSVRC2012_val_00007261.JPEG,1,30.04,0.9592
ILSVRC2012_val_00007261.JPEG,2,30.03,0.9592
ILSVRC2012_val_00007261.JPEG,3,30.04,0.9592
ILSVRC2012_val_00007261.JPEG,4,30.03,0.9592
ILSVRC2012_val_00007261.JPEG,5,30.03,0.9592
ILSVRC2012_val_00007263.JPEG,1,29.33,0.9298
ILSVRC2012_val_00007263.JPEG,2,29.33,0.9298
ILSVRC2012_val_00007263.JPEG,3,29.34,0.9298
ILSVRC2012_val_00007263.JPEG,4,29.33,0.9298
ILSVRC2012_val_00007263.JPEG,5,29.33,0.9298
ILSVRC2012_val_00007267.JPEG,1,30.19,0.9646
ILSVRC2012_val_00007267.JPEG,2,30.18,0.9646
ILSVRC2012_val_00007267.JPEG,3,30.2,0.9646
ILSVRC2012_val_00007267.JPEG,4,30.19,0.9646
ILSVRC2012_val_00007267.JPEG,5,30.19,0.9646
